contract,sky,date
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-25
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-25
0x173a1c04b79ed9266721c1154daa29addc0b9558,2523885792.209638,2025-06-24
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2117608692.9144094,2025-06-24
0xfc48fbca739079aab08216c4d5e506b96593753d,952097816.832581,2025-06-24
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382559419.30284554,2025-06-24
0xe01684b17df0abbdaf97839277b194be4e1a7e79,32834974.571890898,2025-06-24
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-24
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-24
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-24
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2674156.5532223764,2025-06-24
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-24
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-24
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-24
0x173a1c04b79ed9266721c1154daa29addc0b9558,2524322003.2210946,2025-06-23
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2117381303.191288,2025-06-23
0xfc48fbca739079aab08216c4d5e506b96593753d,952117809.631081,2025-06-23
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382559419.30284554,2025-06-23
0xe01684b17df0abbdaf97839277b194be4e1a7e79,31988432.122592192,2025-06-23
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-23
0x555230eca835a808518ec3ea3082f05502bab850,17752135.96237569,2025-06-23
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-23
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2674156.5532223764,2025-06-23
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-23
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-23
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-23
0x173a1c04b79ed9266721c1154daa29addc0b9558,2522370817.315011,2025-06-22
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2108518002.714363,2025-06-22
0xfc48fbca739079aab08216c4d5e506b96593753d,952075703.8528298,2025-06-22
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382532837.62864554,2025-06-22
0xe01684b17df0abbdaf97839277b194be4e1a7e79,31988432.122592192,2025-06-22
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-22
0x555230eca835a808518ec3ea3082f05502bab850,17323228.48429569,2025-06-22
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-22
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2660641.6732223765,2025-06-22
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-22
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-22
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-22
0x173a1c04b79ed9266721c1154daa29addc0b9558,2514075065.6539507,2025-06-21
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2108615833.7290888,2025-06-21
0xfc48fbca739079aab08216c4d5e506b96593753d,951977391.3084977,2025-06-21
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382532837.62864554,2025-06-21
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30929989.305382747,2025-06-21
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28832770.29504541,2025-06-21
0x555230eca835a808518ec3ea3082f05502bab850,17323228.48429569,2025-06-21
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-21
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,2657141.6732223765,2025-06-21
